,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
307,2022,Male,22,2020,2,Yes,Yes,3,2,Offline,Yes,Yes,2,Intermediate,98,Yes,No,Yes,Programming,1,Single,No,Family,No,3.73,No,3.73,11,100000.0,1,3,2
308,2021,Male,21,2019,3,Yes,Yes,4,4,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",3,Single,Yes,Bachelor,Yes,3.73,Yes,3.68,26,35000.0,1,3,2
312,2021,Female,20,2020,3,Yes,No,4,4,Online,Yes,No,2,Advance,98,Yes,No,Yes,Programming,5,Single,No,Bachelor,Yes,1.87,No,3.5,32,20000.0,1,3,2
314,2020,Female,20,2019,7,Yes,Yes,4,2,Online,Yes,Yes,1,Intermediate,98,No,No,Yes,Programming,3,Single,Yes,Family,No,3.96,No,3.99,76,25000.0,1,3,2
315,2019,Male,22,2019,8,Yes,Yes,4,2,Online,Yes,Yes,1,Intermediate,90,No,No,No,working on web development,2,Single,No,Family,Yes,3.68,No,3.73,84,45000.0,1,3,2
318,2020,Male,21,2019,8,Yes,Yes,0,1,Offline,Yes,Yes,2,Advance,90,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend)",1,Single,No,Family,No,3.74,No,3.67,90,30000.0,1,3,2
320,2020,Female,22,2018,8,No,No,2,3,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Programming,2,Single,No,Bachelor,No,3.3,No,3.26,86,50000.0,1,2,2
321,2019,Male,23,2019,8,Yes,No,5,3,Offline,Yes,Yes,4,Intermediate,98,No,No,Yes,Programming,3,Single,Yes,Bachelor,Yes,3.72,No,3.45,90,25000.0,1,2,2
323,2020,Female,21,2018,7,Yes,Yes,1,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Nothing much,0,Married,Yes,Family,No,3.64,No,3.65,76,60000.0,1,3,2
324,2019,Male,22,2018,3,Yes,Yes,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Programming,2,Single,No,Family,No,3.78,No,3.88,93,30000.0,1,3,2
