,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
0,2021,Female,22,2019,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development skill(Frontend),1,Single,No,Bachelor,No,3.8,No,3.64,35,32500.0,1,3,2
1,2021,Male,22,2019,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,Single,No,Bachelor,Yes,3.4,No,3.53,35,20000.0,1,3,2
2,2021,Male,20,2020,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Single,Yes,Family,No,3.93,No,3.89,35,30000.0,1,3,2
3,2021,Male,21,2020,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,1,In a relationship,No,Family,No,3.1,No,3.5,35,40000.0,1,3,2
4,2021,Female,21,2019,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development skill(Frontend),1,Single,Yes,Bachelor,No,3.81,No,3.65,34,30000.0,1,3,2
5,2021,Male,21,2020,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,1,Single,Yes,Bachelor,Yes,3.89,No,3.81,35,35000.0,1,3,2
6,2021,Female,20,2020,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,1,Single,No,Family,No,3.79,No,3.82,39,50000.0,1,3,2
7,2021,Male,21,2020,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",2,Single,Yes,Bachelor,Yes,3.28,No,3.32,35,8000.0,1,2,2
9,2022,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Single,No,Family,No,3.9,No,3.9,12,60000.0,1,3,2
10,2020,Male,21,2019,2,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Single,No,Bachelor,No,3.84,No,3.8,80,23000.0,1,3,2
12,2020,Male,21,2019,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,Single,No,Bachelor,No,3.07,No,2.74,85,20000.0,1,1,1
13,2019,Female,21,2019,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Single,No,Family,No,3.76,No,3.5,83,92000.0,1,3,2
14,2019,Male,23,2018,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,Single,Yes,Bachelor,No,3.84,No,3.1,73,30000.0,1,2,1
15,2021,Male,19,2020,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,"Programming, Photography ",1,Single,Yes,Family,No,3.5,No,3.58,35,30000.0,1,3,2
16,2021,Male,21,2019,4,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend)",2,Single,Yes,Family,No,3.38,No,3.82,27,40000.0,1,3,2
17,2019,Female,21,2019,9,No,No,2,3,Offline,Yes,Yes,3,Basic,90,Yes,No,Yes,"Web development skill(Frontend), Networking",1,Single,Yes,Bachelor,No,1.89,No,2.69,86,20000.0,1,1,1
23,2019,Male,23,2018,9,No,Yes,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,"Web development skill(Backend), Web development skill(Frontend), Graphics design ",1,In a relationship,Yes,Family,Yes,2.7,No,2.92,76,15000.0,1,1,1
28,2021,Female,21,2019,5,No,No,2,3,Offline,Yes,Yes,1,Basic,87,Yes,No,Yes,Programming,1,Married,No,Family,No,1.92,No,2.42,39,60000.0,0,0,0
29,2019,Male,23,2018,11,No,Yes,5,5,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Networking,2,Single,No,Bachelor,No,3.29,No,3.23,114,28000.0,1,2,1
30,2019,Female,22,2018,9,No,Yes,3,1,Offline,Yes,Yes,5,Basic,80,Yes,No,No,Programming,3,Married,No,Bachelor,Yes,2.0,No,2.22,77,4000.0,0,0,0
31,2019,Female,21,2018,10,No,No,5,1,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Programming,2,Single,No,Bachelor,Yes,3.3,No,3.24,105,80000.0,1,2,1
32,2019,Male,22,2018,9,No,No,3,2,Offline,Yes,Yes,3,Basic,95,No,No,Yes,"Web development skill(Frontend), sports ",2,Single,No,Bachelor,No,3.2,No,3.3,103,40000.0,1,2,2
34,2021,Male,22,2020,3,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Digital Marketing ",1,Single,Yes,Family,No,2.16,No,2.75,35,40000.0,1,1,1
36,2021,Female,20,2020,5,No,Yes,2,3,Offline,Yes,Yes,3,Basic,80,No,No,No,Programming,3,Single,No,Family,Yes,1.75,Yes,2.51,39,50000.0,1,1,1
39,2021,Male,24,2017,4,No,No,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,2,In a relationship,Yes,Bachelor,No,4.0,No,3.92,34,40000.0,1,3,2
40,2021,Male,22,2020,2,Yes,Yes,6,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Cyber security,3,Single,Yes,Family,No,3.25,No,3.25,11,30000.0,1,2,2
41,2019,Male,22,2018,11,Yes,No,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Cyber security,2,Single,Yes,Family,No,3.46,No,3.1,102,40000.0,1,2,1
42,2022,Male,19,2020,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,85,No,No,No,"Programming, Software  Development skill, Networking",1,Single,No,Bachelor,No,3.73,No,3.73,11,20000.0,1,3,2
47,2022,Female,21,2020,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Basic,70,Yes,No,No,Cyber security,1,Single,No,Family,No,3.9,No,3.8,12,25000.0,1,3,2
48,2019,Female,21,2018,9,Yes,Yes,2,1,Online,Yes,Yes,5,Intermediate,95,No,No,No,Programming,1,Single,No,Family,No,3.7,No,3.68,105,50000.0,1,3,2
49,2019,Female,21,2018,11,Yes,No,5,2,Offline,Yes,Yes,5,Advance,99,No,No,No,Web development skill(Frontend),2,Single,Yes,Family,No,3.85,No,3.72,126,100000.0,1,3,2
50,2019,Female,23,2017,9,No,Yes,3,2,Offline,Yes,Yes,1,Intermediate,80,No,No,No,"Programming, Web development skill(Frontend)",1,Single,No,Bachelor,No,3.82,No,3.6,84,30000.0,1,3,2
51,2022,Male,20,2020,2,Yes,Yes,4,3,Offline,Yes,Yes,2,Basic,100,No,No,No,Programming,1,Single,Yes,Family,No,3.72,No,3.72,11,40000.0,1,3,2
52,2019,Female,21,2018,2,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Single,No,Family,No,3.51,No,3.56,125,40000.0,1,3,2
54,2019,Male,22,2018,11,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,Yes,Software  Development skill,1,Single,No,Bachelor,No,2.65,No,2.99,121,50000.0,1,1,1
55,2019,Male,22,2018,11,No,Yes,6,3,Online,Yes,Yes,2,Intermediate,99,No,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,In a relationship,Yes,Bachelor,No,3.72,No,3.42,131,70000.0,1,2,2
56,2019,Female,23,2017,10,Yes,Yes,2,3,Offline,Yes,Yes,1,Advance,95,No,No,Yes,Networking,2,Married,Yes,Family,No,3.38,No,3.6,120,50000.0,1,3,2
61,2019,Male,23,2018,11,No,Yes,6,3,Offline,Yes,Yes,6,Intermediate,98,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",3,Single,Yes,Family,No,3.2,No,3.22,110,50000.0,1,2,1
62,2022,Male,20,2020,2,No,No,5,3,Offline,No,Yes,2,Basic,100,No,No,No,Programming,5,Single,Yes,Bachelor,No,3.48,No,3.48,11,20000.0,1,2,2
65,2019,Male,23,2017,9,Yes,Yes,4,2,Offline,Yes,Yes,6,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend)",1,Single,No,Bachelor,No,3.7,No,3.5,89,50000.0,1,3,2
67,2022,Male,21,2020,4,Yes,No,5,2,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Programming,2,Single,No,Bachelor,No,3.3,No,3.3,11,50000.0,1,2,2
68,2019,Male,21,2018,11,Yes,No,2,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",5,Single,No,Bachelor,No,4.0,No,3.78,120,50000.0,1,3,2
69,2022,Female,19,2020,2,Yes,No,6,5,Offline,Yes,Yes,1,Intermediate,95,No,No,No,"Programming, Software  Development skill",2,Single,No,Bachelor,No,3.56,No,3.58,11,10000.0,1,3,2
71,2022,Male,20,2020,2,No,Yes,3,3,Online,Yes,Yes,5,Basic,80,No,No,No,Programming,2,Single,No,Bachelor,No,2.54,No,2.54,11,40000.0,1,1,1
73,2019,Female,22,2019,9,Yes,Yes,6,3,Offline,Yes,Yes,3,Basic,90,No,No,Yes,Networking,1,Single,No,Family,No,3.84,No,3.77,99,60000.0,1,3,2
79,2020,Male,22,2019,8,No,No,2,1,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,"Programming, Web development skill(Frontend)",2,Single,Yes,Bachelor,No,3.12,No,3.08,83,30000.0,1,2,1
81,2019,Male,24,2018,11,Yes,No,4,2,Online,Yes,No,3,Intermediate,85,Yes,Yes,Yes,"Programming, Networking",1,Single,No,Family,No,2.25,No,2.64,103,20000.0,1,1,1
82,2019,Male,22,2018,11,Yes,No,1,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",1,In a relationship,No,Family,No,3.5,No,3.43,126,100000.0,1,2,2
84,2022,Male,20,2020,2,Yes,No,1,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Single,No,Family,No,3.83,No,3.83,11,35000.0,1,3,2
85,2019,Male,22,2018,2,No,Yes,4,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",4,Single,No,Family,No,1.98,No,2.98,104,25000.0,1,1,1
89,2021,Male,21,2019,3,Yes,No,5,3,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,1,Single,Yes,Bachelor,No,3.52,No,3.65,23,50000.0,1,3,2
90,2019,Female,23,2018,11,Yes,No,4,2,Online,Yes,Yes,5,Advance,70,Yes,No,No,Cyber security,2,Married,Yes,Bachelor,Yes,3.01,No,2.89,120,90000.0,1,1,1
91,2021,Female,20,2020,3,Yes,No,3,2,Offline,Yes,Yes,2,Advance,90,No,No,Yes,Programming,2,In a relationship,No,Family,No,3.18,No,3.18,24,80000.0,1,2,1
94,2021,Male,21,2020,3,Yes,No,2,2,Online,Yes,Yes,3,Basic,90,No,No,Yes,Programming,1,Single,No,Family,No,3.42,No,3.56,23,50000.0,1,3,2
95,2021,Male,20,2020,2,Yes,No,3,2,Offline,Yes,Yes,3,Basic,85,No,No,No,Programming,1,Single,No,Bachelor,No,2.49,No,3.03,25,40000.0,1,2,1
96,2021,Female,19,2020,3,No,Yes,2,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Single,No,Family,No,4.59,No,4.0,23,100000.0,1,3,2
97,2021,Female,22,2017,5,Yes,Yes,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,1,Single,No,Family,Yes,3.86,No,3.67,49,30000.0,1,3,2
99,2021,Male,21,2020,5,Yes,Yes,6,3,Online,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Software  Development skill",2,Single,Yes,Family,No,3.82,No,3.7,55,50000.0,1,3,2
100,2021,Male,21,2019,3,Yes,No,2,1,Online,Yes,Yes,2,Intermediate,75,No,No,Yes,"Programming, Designing(Photoshop), video editing ",1,Single,No,Family,No,3.58,No,3.1,23,40000.0,1,2,1
101,2021,Male,21,2020,5,No,No,5,2,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Programming,2,Single,No,Bachelor,No,2.57,No,2.8,45,30000.0,1,1,1
102,2021,Male,22,2020,3,Yes,No,5,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,"Programming, Mentoring ",2,Single,Yes,Bachelor,Yes,3.86,No,3.92,23,40000.0,1,3,2
105,2021,Male,20,2020,3,Yes,No,1,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,1,Single,No,Family,Yes,3.68,No,3.65,24,45000.0,1,3,2
108,2021,Male,20,2020,3,Yes,Yes,3,2,Offline,Yes,Yes,2,Advance,70,No,No,Yes,Programming,2,Single,No,Family,Yes,2.45,No,2.95,25,50000.0,1,1,1
109,2021,Female,20,2020,3,Yes,Yes,4,3,Offline,Yes,Yes,1,Intermediate,99,No,No,Yes,Programming,3,Married,Yes,Family,No,3.47,No,3.2,23,50000.0,1,2,1
110,2019,Male,21,2018,11,No,Yes,0,1,Offline,Yes,Yes,1,Intermediate,85,No,No,No,"Programming, Web development skill(Frontend), Cyber security, Networking",1,Single,No,Bachelor,No,2.53,No,3.05,115,37000.0,1,2,1
112,2021,Female,20,2020,3,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Programming,1,Single,No,Bachelor,No,3.19,Yes,2.73,24,40000.0,1,1,1
114,2021,Male,21,2020,3,Yes,No,4,2,Offline,Yes,Yes,5,Intermediate,95,No,No,No,Programming,2,Single,Yes,Bachelor,No,3.28,No,3.0,25,70000.0,1,2,1
116,2021,Female,21,2019,3,Yes,No,3,1,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,"Programming, Web development skill(Frontend)",1,Single,No,Bachelor,No,3.75,No,3.7,24,50000.0,1,3,2
117,2021,Male,20,2020,4,No,No,1,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,"Programming, Web development skill(Backend), Web development skill(Frontend)",2,Single,Yes,Family,No,3.85,No,3.92,34,40000.0,1,3,2
118,2021,Female,21,2020,2,Yes,No,3,2,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Programming,3,Single,No,Bachelor,No,3.18,No,3.18,11,30000.0,1,2,1
119,2019,Female,24,2018,11,Yes,No,2,1,Offline,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development skill(Frontend),2,Married,No,Family,No,3.39,No,3.4,128,50000.0,1,2,2
120,2021,Female,20,2020,2,No,No,3,1,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Single,No,Bachelor,Yes,2.98,No,3.38,25,60000.0,1,2,2
123,2021,Female,22,2020,5,No,No,2,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,1,Single,No,Bachelor,No,3.1,No,3.18,48,50000.0,1,2,1
124,2022,Female,21,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Programming,1,Single,No,Family,No,3.7,No,3.7,12,120000.0,1,3,2
125,2021,Female,19,2020,3,Yes,Yes,2,2,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Programming,1,Single,No,Family,No,3.61,No,3.74,25,40000.0,1,3,2
126,2021,Male,22,2017,3,Yes,No,2,1,Online,Yes,Yes,0,Intermediate,70,No,No,No,Programming,1,Single,No,Family,No,3.01,No,3.22,23,70000.0,1,2,1
127,2021,Female,21,2020,3,No,Yes,2,2,Offline,Yes,Yes,5,Basic,80,No,No,No,Programming,2,Single,No,Family,Yes,3.26,No,3.36,23,40000.0,1,2,2
129,2021,Male,20,2019,3,No,No,2,3,Offline,Yes,Yes,5,Basic,100,No,No,No,Programming,3,Single,No,Bachelor,Yes,3.12,No,3.01,23,50000.0,1,2,1
130,2022,Female,20,2020,1,Yes,No,4,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Software  Development skill,2,Single,Yes,Bachelor,No,5.0,No,3.93,11,50000.0,1,3,2
132,2020,Male,22,2018,6,Yes,Yes,1,1,Online,Yes,Yes,3,Basic,80,No,No,No,Web development skill(Frontend),1,Single,No,Family,No,2.79,No,3.15,50,40000.0,1,2,1
133,2021,Female,22,2020,4,No,No,2,1,Offline,Yes,No,3,Intermediate,98,No,No,No,Programming,2,Single,No,Bachelor,No,3.83,No,3.4,25,40000.0,1,2,2
135,2021,Female,21,2020,3,Yes,Yes,3,1,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Web development skill(Backend),2,Single,No,Family,No,3.39,No,3.19,25,70000.0,1,2,1
136,2021,Male,20,2020,3,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,No,"Programming, Web development skill(Backend), Cyber security",2,Single,No,Bachelor,No,3.38,No,3.37,23,25000.0,1,2,2
137,2021,Female,19,2020,3,Yes,No,3,3,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Web development skill(Backend),1,Single,No,Bachelor,Yes,3.03,No,3.15,23,30000.0,1,2,1
139,2021,Male,21,2020,3,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Single,Yes,Family,No,3.65,No,3.7,30,40000.0,1,3,2
140,2019,Female,22,2019,9,No,Yes,3,1,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Web development skill(Frontend),1,Single,No,Family,Yes,3.18,No,2.69,90,30000.0,1,1,1
141,2020,Male,24,2017,8,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,70,No,No,No,"Programming, Mechine Learning",3,In a relationship,Yes,Family,No,2.56,No,3.38,90,30000.0,1,2,2
143,2021,Female,19,2020,3,No,No,3,2,Offline,Yes,Yes,4,Intermediate,75,Yes,No,Yes,Programming,2,Single,No,Family,No,2.36,No,2.88,23,80000.0,1,1,1
146,2020,Female,21,2019,7,No,Yes,2,2,Online,Yes,Yes,5,Intermediate,80,No,No,Yes,"Programming, Web development skill(Backend)",3,In a relationship,No,Family,No,3.0,No,2.91,90,35000.0,1,1,1
147,2021,Female,20,2020,3,No,Yes,2,1,Offline,Yes,No,5,Basic,80,No,No,Yes,Programming,1,Single,Yes,Family,No,2.32,No,2.66,23,40000.0,1,1,1
149,2021,Female,22,2020,3,Yes,No,2,1,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development skill(Backend),1,Single,Yes,Bachelor,Yes,2.89,No,3.37,24,50000.0,1,2,2
151,2021,Female,20,2020,3,Yes,Yes,2,2,Offline,Yes,Yes,5,Basic,100,Yes,No,No,Programming,1,Single,No,Family,Yes,2.26,No,2.31,20,35000.0,0,0,0
152,2022,Female,21,2020,2,Yes,No,5,2,Offline,Yes,Yes,2,Basic,99,No,No,No,Programming,1,Single,No,Bachelor,No,3.65,No,3.65,12,35000.0,1,3,2
153,2021,Female,22,2019,3,Yes,Yes,2,1,Offline,Yes,Yes,5,Intermediate,96,No,No,Yes,Programming,3,Single,No,Family,No,3.03,No,3.02,25,49000.0,1,2,1
154,2020,Male,22,2018,2,Yes,Yes,2,1,Offline,Yes,Yes,4,Basic,80,No,No,Yes,"Web development skill(Backend), Web development skill(Frontend)",0,Single,No,Bachelor,Yes,3.93,No,3.44,53,15000.0,1,2,2
157,2021,Female,21,2020,3,Yes,Yes,3,4,Offline,Yes,Yes,1,Basic,99,No,No,Yes,Programming,1,Single,No,Family,No,2.94,No,3.03,23,50000.0,1,2,1
159,2021,Male,21,2019,3,Yes,Yes,1,1,Online,Yes,Yes,2,Intermediate,85,No,No,No,Programming,2,Single,Yes,Family,Yes,3.86,No,3.84,24,50000.0,1,3,2
160,2022,Male,20,2020,3,No,Yes,4,2,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Programming,1,Single,No,Family,No,2.93,No,2.84,26,30000.0,1,1,1
161,2021,Male,20,2020,4,Yes,No,5,3,Online,Yes,Yes,1,Intermediate,80,No,No,Yes,Programming,2,Single,No,Bachelor,No,3.06,No,3.08,36,60000.0,1,2,1
162,2021,Male,21,2019,3,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,No,"Programming, Web development skill(Frontend)",1,Single,Yes,Family,No,3.17,No,3.53,25,30000.0,1,3,2
164,2021,Female,21,2020,4,No,Yes,6,1,Offline,Yes,No,2,Intermediate,97,Yes,No,Yes,Programming,3,Single,Yes,Family,No,3.39,No,2.8,20,40000.0,1,1,1
165,2022,Male,21,2019,2,Yes,No,5,3,Offline,Yes,Yes,4,Basic,90,Yes,No,Yes,Programming,3,Single,Yes,Bachelor,No,3.83,No,3.83,11,20000.0,1,3,2
166,2020,Male,22,2019,8,No,No,3,1,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,2,Single,No,Bachelor,No,3.64,No,3.74,87,50000.0,1,3,2
167,2021,Male,20,2020,3,Yes,Yes,2,1,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,1,Single,No,Family,No,2.96,No,3.38,25,25000.0,1,2,2
169,2021,Female,20,2018,3,Yes,Yes,1,2,Online,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Single,No,Family,No,3.49,No,3.5,23,30000.0,1,3,2
174,2021,Male,21,2019,3,No,Yes,4,1,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Programming,3,Single,No,Family,No,3.72,No,3.71,25,60000.0,1,3,2
175,2019,Female,22,2018,11,Yes,No,5,2,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,System analysis,1,In a relationship,Yes,Family,No,2.8,No,3.35,120,68000.0,1,2,2
176,2020,Female,21,2019,6,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,99,No,No,Yes,Programming,1,Single,No,Family,No,3.98,No,3.99,58,40000.0,1,3,2
177,2021,Male,21,2019,3,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,90,No,No,No,Programming,1,Single,No,Family,Yes,3.03,No,2.94,25,50000.0,1,1,1
178,2019,Female,22,2017,11,No,No,3,2,Offline,Yes,Yes,4,Intermediate,95,No,No,Yes,Web development skill(Frontend),1,Single,No,Family,Yes,3.34,No,3.18,120,40000.0,1,2,1
180,2019,Female,23,2018,11,No,Yes,3,2,Offline,Yes,Yes,3,Intermediate,96,No,No,Yes,Web development skill(Frontend),1,Single,No,Family,No,3.78,No,3.55,141,23000.0,1,3,2
185,2020,Female,20,2019,2,Yes,No,1,1,Online,Yes,Yes,1,Intermediate,70,Yes,No,No,No skills,1,In a relationship,Yes,Family,Yes,1.63,No,2.61,79,60000.0,1,1,1
186,2021,Male,21,2020,3,Yes,No,2,1,Offline,Yes,Yes,6,Basic,70,No,No,Yes,Programming,2,Single,Yes,Bachelor,No,3.17,No,3.39,22,40000.0,1,2,2
187,2021,Female,20,2019,3,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Memorizing,2,Single,No,Family,Yes,3.82,No,3.91,23,100000.0,1,3,2
188,2021,Male,22,2019,3,Yes,Yes,2,3,Online,Yes,Yes,2,Intermediate,92,No,No,Yes,Programming,1,Single,No,Family,No,3.79,No,3.89,23,35000.0,1,3,2
189,2019,Female,23,2017,11,No,Yes,3,2,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Web development skill(Frontend),2,Single,No,Bachelor,No,3.76,No,3.62,120,33000.0,1,3,2
190,2020,Male,21,2019,8,Yes,No,5,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,"Programming, Web development skill(Frontend)",2,Single,Yes,Bachelor,Yes,3.74,No,3.91,88,15000.0,1,3,2
193,2021,Female,21,2020,3,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,100,No,No,No,Programming,1,Single,No,Family,No,3.38,No,3.2,23,50000.0,1,2,1
